"user","longitude","latitude","hour_taken","day_taken","month_taken","year_taken","First*(id)","Unique concatenate(hashtags)","Unique concatenate(legend)","First*(minutes_taken)","First*(hour_uploaded)","First*(day_uploaded)","First*(month_uploaded)","First*(year_uploaded)","First*(url)","longitude_normalized"
"10036336@N02",4.8298,45.769,14,29,9,2006,8.03191874E8,"streetart,lyon,bookstore,librairie,graphism,grandguignol","?",22,23,13,7,2007,"http://farm2.staticflickr.com/1283/803191874_4c88ec24f0_t.jpg",6.9018
"10036336@N02",4.8428,45.77,12,13,7,2007,8.01708286E8,"street,old,texture,lyon,70s,8mm,cristal","?",37,19,13,7,2007,"http://farm2.staticflickr.com/1083/801708286_9b2cf3f870_t.jpg",6.9204
"10115707@N04",4.8289,45.753,18,20,9,2007,1.166248442E9,"travel,vacation,holiday,france,tourism,photo,tour,south,sightseeing,olympus,sights,c5050z","?",56,2,19,8,2007,"http://farm2.staticflickr.com/1217/1166248442_9b5cbd4a24_t.jpg",6.9005
"10115707@N04",4.8337,45.764,18,20,9,2007,1.165391073E9,"travel,vacation,holiday,france,tourism,photo,tour,south,sightseeing,olympus,sights,c5050z","?",57,2,19,8,2007,"http://farm2.staticflickr.com/1043/1165391073_d405442b27_t.jpg",6.9074
"10180314@N06",4.8146,45.737,18,9,6,2011,5.842549783E9,"?","?",48,17,17,6,2011,"http://farm3.staticflickr.com/2561/5842549783_c8dac04067_t.jpg",6.8801
"10180314@N06",4.8149,45.735,18,9,6,2011,5.842544195E9,"?","?",42,17,17,6,2011,"http://farm3.staticflickr.com/2590/5842544195_cce0e082fd_t.jpg",6.8805
"10180314@N06",4.8256,45.766,12,1,4,2009,3.406660001E9,"?","?",24,17,2,4,2009,"http://farm4.staticflickr.com/3378/3406660001_dbbf79c1de_t.jpg",6.8958
"10295333@N07",4.8308,45.77,19,8,9,2007,1.348489878E9,"blue,sky,monument,stone,pierre,religion,bleu,ciel,croix,croyances","Croix Rousse, Lyon",38,22,8,9,2007,"http://farm2.staticflickr.com/1053/1348489878_34e917e6a0_t.jpg",6.9032
"10435661@N05",4.8283,45.761,19,20,5,2007,8.93742565E8,"?","?",14,4,24,5,2007,"http://farm2.staticflickr.com/1281/893742565_81320bf79b_t.jpg",6.8996
"10456957@N00",4.8319,45.76,23,16,7,2007,1.019510002E9,"france,lyon,interrail,ferie","?",38,17,5,8,2007,"http://farm2.staticflickr.com/1334/1019510002_61f182f4ee_t.jpg",6.9048
"10462119@N08",4.8353,45.771,15,27,12,2005,8.79818272E8,"?","as seen from Place Bellecour",23,18,5,1,2006,"http://farm2.staticflickr.com/1054/879818272_31bd884deb_t.jpg",6.9096
"10504021@N06",4.8166,45.742,12,30,4,2009,3.512561797E9,"canon,350d","?",15,16,8,5,2009,"http://farm4.staticflickr.com/3410/3512561797_62e2a47742_t.jpg",6.8829
"10533740@N03",4.8242,45.766,15,5,9,2012,8.877051187E9,"?","?",47,11,29,5,2013,"http://farm8.staticflickr.com/7374/8877051187_72ed5c78e0_t.jpg",6.8938
"10533740@N03",4.8268,45.757,13,23,7,2009,8.877084675E9,"?","?",17,11,29,5,2013,"http://farm8.staticflickr.com/7292/8877084675_c9de97c01c_t.jpg",6.8975
"10533740@N03",4.8275,45.768,10,24,4,2013,8.877644906E9,"?","?",17,11,29,5,2013,"http://farm3.staticflickr.com/2849/8877644906_6ca78deb3d_t.jpg",6.8985
"10533740@N03",4.8318,45.76,20,6,12,2012,8.877268671E9,"?","?",55,11,29,5,2013,"http://farm8.staticflickr.com/7322/8877268671_60ec0b0fbd_t.jpg",6.9046
"10533740@N03",4.8515,45.777,11,7,12,2012,8.876969193E9,"?","?",47,10,29,5,2013,"http://farm4.staticflickr.com/3735/8876969193_df19cbff95_t.jpg",6.9328
"10533740@N03",4.8542,45.777,11,7,12,2012,8.87759576E9,"?","?",37,10,29,5,2013,"http://farm6.staticflickr.com/5340/8877595760_e3c0d80a93_t.jpg",6.9367
"10533740@N03",4.8545,45.776,11,7,12,2012,8.877598346E9,"?","?",36,10,29,5,2013,"http://farm8.staticflickr.com/7389/8877598346_38585aecce_t.jpg",6.9371
"10533740@N03",4.8556,45.783,5,17,7,2012,8.877010161E9,"?","?",46,10,29,5,2013,"http://farm3.staticflickr.com/2816/8877010161_349b8e1b22_t.jpg",6.9387
"10611153@N00",4.8196,45.759,11,1,5,2009,3.500885279E9,"france,ruins,lyon,theatre,roman,amphitheatre,fourviere","?",2,17,4,5,2009,"http://farm4.staticflickr.com/3545/3500885279_312e3c6021_t.jpg",6.8872
"10611153@N00",4.82,45.76,10,1,5,2009,3.500852235E9,"france,ruins,lyon,theatre,roman,amphitheatre,fourviere","?",57,17,4,5,2009,"http://farm4.staticflickr.com/3626/3500852235_04f1675491_t.jpg",6.8878
"10611153@N00",4.8222,45.762,11,1,5,2009,3.500910465E9,"france,cathedral,lyon,hill,basilique,fourvière,notredamedefourvière","?",18,17,4,5,2009,"http://farm4.staticflickr.com/3608/3500910465_0b81f576f3_t.jpg",6.8909
"10611153@N00",4.8237,45.762,12,1,5,2009,3.504086219E9,"france,cathedral,lyon,hill,basilique,fourvière,notredamedefourvière","?",17,15,5,5,2009,"http://farm4.staticflickr.com/3311/3504086219_036fd2f5c8_t.jpg",6.8931
"10611153@N00",4.8281,45.763,12,1,5,2009,3.505372008E9,"france,lyon,traboule","?",47,18,5,5,2009,"http://farm4.staticflickr.com/3301/3505372008_34ee8f8881_t.jpg",6.8994
"10666810@N00",4.8394,45.756,23,29,11,2010,5.223202908E9,"snow,france,lyon,balance,neige,nuit,métal,rhônealpes,guillotière,effetdoptique","?",15,7,1,12,2010,"http://farm5.staticflickr.com/4085/5223202908_3e88052dfa_t.jpg",6.9155
"10666810@N00",4.8409,45.768,19,30,11,2010,5.224406307E9,"longexposure,snow,france,lyon,hiver,nieve,neige,2010,platane,rhônealpes,seeninexplore","?",46,22,1,12,2010,"http://farm6.staticflickr.com/5201/5224406307_b6b5b55d26_t.jpg",6.9176
"10671903@N00",4.8323,45.724,22,24,4,2009,3.472377025E9,"lyon,psg,parissaintgermain,stadedegerland","?",26,10,25,4,2009,"http://farm4.staticflickr.com/3593/3472377025_930e27e3e4_t.jpg",6.9054
"10691102@N00",4.8269,45.769,15,1,5,2008,2.456325379E9,"street,art,lyon,photos","?",44,15,1,5,2008,"http://farm3.staticflickr.com/2297/2456325379_3e9c2f86b1_t.jpg",6.8976
"10691102@N00",4.8293,45.769,15,1,5,2008,2.456327561E9,"street,art,lyon,photos","?",29,15,1,5,2008,"http://farm3.staticflickr.com/2406/2456327561_4061654cd9_t.jpg",6.9011
"10695400@N06",4.8278,45.767,14,21,7,2010,5.772593112E9,"sky,france,river,lyon,stormy,rivière,ciel,quai,hdr,passerelle,saône,saintvincent,orageux,pierrescize","<a href=http://www.flickr.com/photos/urbmtl/5772593112/in/photostream/lightbox>En grand format sur fond noir - View Large and On Black</a>

Il ny avait rien à faire avec la photo originale tellement elle était sombre. La seule façon den tirer quelque chose était de faire une HDR.

The original picture was so dark that I could not do anything but to transform it into a HDR.

La Saône, Lyon, France. Photo prise vers louest depuis la passerelle Saint-Vincent.",17,17,29,5,2011,"http://farm6.staticflickr.com/5188/5772593112_54a25f4af6_t.jpg",6.8989
"10695400@N06",4.8283,45.76,14,21,7,2010,5.802789042E9,"city,sky,urban,france,water,architecture,river,eau,lyon,rivière,ciel,ville,urbain,vieuxlyon,saône","Le Vieux-Lyon et la Saône, photo prise du pont Bonaparte, Lyon, France",52,2,6,6,2011,"http://farm6.staticflickr.com/5271/5802789042_cd904d0c76_t.jpg",6.8996
"10695400@N06",4.9142,45.767,9,26,1,2012,6.823639166E9,"city,urban,plant,canon,canal,power,lyon,central,ville,urbain,hydroelectric,edf,cusset,jonage,vaulxenvelin,hydroélectrique","<a href=http://www.flickr.com/photos/urbmtl/6823639166/in/photostream/lightbox>En grand format sur fond noir - View Large and On Black</a>

Centrale EDF de Cusset, Vaulx-en-Velin, France

The construction of this powerplant was completed in 1899, by Société Lyonnaise des Forces Motrices du Rhône on the Jonage Canal. At the time, it was the most powerful hydroelectric power plant of France with an output of 7000 kW. It is still in operation today and is managed by EDF.

Cette centrale hydroélectrique a été construite par la Société lyonnaise du Rhône sur le canal de Jonage entre 1894 et 1899. Avec une puissance de 7000 kWh, elle était la plus puissante de France. Elle est en opération et est exploitée par EDF.",1,16,10,3,2012,"http://farm8.staticflickr.com/7182/6823639166_ed4a0e009e_t.jpg",7.0224
